Date;14 - Time deposits (CDB/RDB-preset) - Daily return (%) - % p.d.
28/02/1992;1.2042
04/03/1992;1.1978
05/03/1992;1.1925
06/03/1992;1.2080
09/03/1992;1.1927
10/03/1992;1.1647
11/03/1992;1.1640
12/03/1992;1.1515
13/03/1992;1.1543
16/03/1992;1.1437
17/03/1992;1.1438
18/03/1992;1.1390
19/03/1992;1.1278
20/03/1992;1.1405
23/03/1992;1.1365
24/03/1992;1.1439
25/03/1992;1.1588
26/03/1992;1.1487
27/03/1992;1.1459
30/03/1992;1.1457
31/03/1992;1.1393
01/04/1992;1.1216
02/04/1992;1.1073
03/04/1992;1.1030
06/04/1992;1.1225
07/04/1992;1.1233
08/04/1992;1.1139
09/04/1992;1.1086
10/04/1992;1.0879
13/04/1992;1.0823
14/04/1992;1.0591
15/04/1992;1.0560
20/04/1992;1.0389
22/04/1992;1.0181
23/04/1992;1.0259
24/04/1992;1.0265
27/04/1992;1.0306
28/04/1992;1.0257
29/04/1992;1.0140
30/04/1992;1.0156
04/05/1992;1.0146
05/05/1992;1.0156
06/05/1992;1.0217
07/05/1992;1.0115
08/05/1992;1.0076
11/05/1992;1.0025
12/05/1992;0.9826
13/05/1992;0.9801
14/05/1992;0.9710
15/05/1992;0.9710
18/05/1992;0.9783
19/05/1992;0.9730
20/05/1992;0.9770
21/05/1992;0.9745
22/05/1992;1.0065
25/05/1992;1.0068
26/05/1992;1.0187
27/05/1992;1.0155
28/05/1992;1.0103
29/05/1992;1.0287
01/06/1992;1.0563
02/06/1992;1.0024
03/06/1992;1.0085
04/06/1992;1.0062
05/06/1992;1.0081
08/06/1992;1.0015
09/06/1992;0.9997
10/06/1992;1.0174
11/06/1992;0.9870
12/06/1992;0.9971
15/06/1992;0.9989
16/06/1992;1.0110
17/06/1992;1.0155
19/06/1992;1.0121
22/06/1992;1.0079
23/06/1992;1.0095
24/06/1992;1.0162
25/06/1992;1.0141
26/06/1992;1.0052
29/06/1992;1.0141
30/06/1992;1.0177
01/07/1992;1.0141
02/07/1992;1.0127
03/07/1992;1.0103
06/07/1992;1.0244
07/07/1992;1.0183
08/07/1992;1.0219
09/07/1992;1.0191
10/07/1992;1.0151
13/07/1992;1.0238
14/07/1992;1.0235
15/07/1992;1.0194
16/07/1992;1.0300
17/07/1992;1.0259
20/07/1992;1.0319
21/07/1992;1.0337
22/07/1992;1.0324
23/07/1992;1.0525
24/07/1992;1.0488
27/07/1992;1.0533
28/07/1992;0.9976
29/07/1992;1.0577
30/07/1992;1.0636
31/07/1992;1.0648
03/08/1992;1.0749
04/08/1992;1.0876
05/08/1992;1.0843
06/08/1992;1.0844
07/08/1992;1.0877
10/08/1992;1.0870
11/08/1992;1.0897
12/08/1992;1.0913
13/08/1992;1.1014
14/08/1992;1.0946
17/08/1992;1.1154
18/08/1992;1.0628
19/08/1992;1.1237
20/08/1992;1.1122
21/08/1992;1.1126
24/08/1992;1.1316
25/08/1992;1.1422
26/08/1992;1.1319
27/08/1992;1.1501
28/08/1992;1.1506
31/08/1992;1.1651
01/09/1992;1.1611
02/09/1992;1.1600
03/09/1992;1.1649
04/09/1992;1.1668
08/09/1992;1.1728
09/09/1992;1.1701
10/09/1992;1.2055
11/09/1992;1.1763
14/09/1992;1.1761
15/09/1992;1.1780
16/09/1992;1.1785
17/09/1992;1.1745
18/09/1992;1.1747
21/09/1992;1.1647
22/09/1992;1.1668
23/09/1992;1.1775
24/09/1992;1.1750
25/09/1992;1.1623
28/09/1992;1.1780
29/09/1992;1.1779
30/09/1992;1.1803
01/10/1992;1.1683
02/10/1992;1.1690
05/10/1992;1.1727
06/10/1992;1.1685
07/10/1992;1.1582
08/10/1992;1.1508
09/10/1992;1.1499
13/10/1992;1.1642
14/10/1992;1.1708
15/10/1992;1.1715
16/10/1992;1.1581
19/10/1992;1.1846
20/10/1992;1.1860
21/10/1992;1.1920
22/10/1992;0.8640
23/10/1992;1.1967
26/10/1992;1.1942
27/10/1992;1.1941
28/10/1992;1.2051
29/10/1992;1.1990
30/10/1992;1.1760
03/11/1992;1.1698
04/11/1992;1.1669
05/11/1992;1.1603
06/11/1992;1.1429
09/11/1992;1.1423
10/11/1992;1.1260
11/11/1992;1.1156
12/11/1992;1.1121
13/11/1992;1.0843
16/11/1992;1.0681
17/11/1992;1.0551
18/11/1992;1.0491
19/11/1992;1.0343
20/11/1992;1.0253
23/11/1992;1.0257
24/11/1992;1.0271
25/11/1992;1.0215
26/11/1992;1.0337
27/11/1992;1.0274
30/11/1992;1.0335
01/12/1992;0.9536
02/12/1992;0.9989
03/12/1992;1.0408
04/12/1992;1.0285
07/12/1992;1.0572
08/12/1992;1.0673
09/12/1992;1.0753
10/12/1992;1.0840
11/12/1992;1.0825
14/12/1992;1.1050
15/12/1992;1.1161
16/12/1992;1.1225
17/12/1992;1.1349
18/12/1992;1.1449
21/12/1992;1.1837
22/12/1992;1.1710
23/12/1992;1.1292
24/12/1992;1.1239
28/12/1992;1.2067
29/12/1992;1.2118
30/12/1992;1.2223
31/12/1992;1.1929
04/01/1993;1.2528
05/01/1993;1.2578
06/01/1993;1.2533
07/01/1993;1.2722
08/01/1993;1.2463
11/01/1993;1.2909
12/01/1993;1.2937
13/01/1993;1.3008
14/01/1993;1.3063
15/01/1993;1.3323
18/01/1993;1.3329
19/01/1993;1.3454
20/01/1993;1.3371
21/01/1993;1.3375
22/01/1993;1.3487
25/01/1993;1.3560
26/01/1993;1.3627
27/01/1993;1.3725
28/01/1993;1.3435
29/01/1993;1.3703
01/02/1993;1.3479
02/02/1993;1.3207
03/02/1993;1.3233
04/02/1993;1.3106
05/02/1993;1.2807
08/02/1993;1.2743
09/02/1993;1.2529
10/02/1993;1.2353
11/02/1993;1.2119
12/02/1993;1.1966
15/02/1993;1.1783
16/02/1993;1.1699
17/02/1993;1.1547
18/02/1993;1.1250
19/02/1993;1.1073
24/02/1993;1.0791
25/02/1993;1.0687
26/02/1993;0.9999
01/03/1993;1.0615
02/03/1993;1.0332
03/03/1993;0.9811
04/03/1993;1.0423
05/03/1993;1.0889
08/03/1993;1.1246
09/03/1993;1.1014
10/03/1993;1.1484
11/03/1993;1.1455
12/03/1993;1.1657
15/03/1993;1.1793
16/03/1993;1.1844
17/03/1993;1.2169
18/03/1993;1.2344
19/03/1993;1.2476
22/03/1993;1.2629
23/03/1993;1.2805
24/03/1993;1.2719
25/03/1993;1.2206
26/03/1993;1.3024
29/03/1993;1.3226
30/03/1993;1.3097
31/03/1993;1.3310
01/04/1993;1.3523
02/04/1993;1.3281
05/04/1993;1.3473
06/04/1993;1.3426
07/04/1993;1.3301
12/04/1993;1.3270
13/04/1993;1.3440
14/04/1993;1.3391
15/04/1993;1.3799
16/04/1993;1.3699
19/04/1993;1.3745
20/04/1993;1.3384
22/04/1993;1.3392
23/04/1993;1.3372
26/04/1993;1.3182
27/04/1993;1.2753
28/04/1993;1.2992
29/04/1993;1.2811
30/04/1993;1.2704
03/05/1993;1.2837
04/05/1993;1.2790
05/05/1993;1.2794
06/05/1993;1.2465
07/05/1993;1.2574
10/05/1993;1.2661
11/05/1993;1.2482
12/05/1993;1.2354
13/05/1993;1.2453
14/05/1993;1.2652
17/05/1993;1.2639
18/05/1993;1.2748
19/05/1993;1.2778
20/05/1993;1.2789
21/05/1993;1.2680
24/05/1993;1.2939
25/05/1993;1.2641
26/05/1993;1.2883
27/05/1993;1.2745
28/05/1993;1.2677
31/05/1993;1.3258
01/06/1993;1.3140
02/06/1993;1.3198
03/06/1993;1.2891
04/06/1993;1.3118
07/06/1993;1.2815
08/06/1993;1.2939
09/06/1993;1.2961
11/06/1993;1.2714
14/06/1993;1.2659
15/06/1993;1.2778
16/06/1993;1.2605
17/06/1993;1.2474
18/06/1993;1.2741
21/06/1993;1.2576
22/06/1993;1.2504
23/06/1993;1.2542
24/06/1993;1.2470
25/06/1993;1.2726
28/06/1993;1.2645
29/06/1993;1.2326
30/06/1993;1.2784
01/07/1993;1.2751
02/07/1993;1.2688
05/07/1993;1.2767
06/07/1993;1.2882
07/07/1993;1.2852
08/07/1993;1.2905
09/07/1993;1.2806
12/07/1993;1.2794
13/07/1993;1.2651
14/07/1993;1.2920
15/07/1993;1.3127
16/07/1993;1.3036
19/07/1993;1.3009
20/07/1993;1.3165
21/07/1993;1.3133
22/07/1993;1.3198
23/07/1993;1.3176
26/07/1993;1.3026
27/07/1993;1.3326
28/07/1993;1.3419
29/07/1993;1.3468
